"Marca","Fabricante","Modelo","Sistema operativo","Capacidad de la memoria","Memoria extraíble","Resolución del sensor óptico","Valoración","Valoraciones","Precio","Imagen"
"Blackview","Blackview","BV5500Plus"," ","32 GB","MicroSD","8 MP","4.1","1.354","109.99","Pictures/71syXaI3TqL._AC_SL1000_.jpg"
"Ulefone","Ulefone","Ulefone Note 8","Android 10","16 GB"," ","5 MP","3.9","569"," ","Pictures/61a2pRnLqSL._AC_SL1000_.jpg"
"JJA BROS","JJA BROS"," ","Android","8 GB"," ","2 MP","3.8","3","87.41","Pictures/41FM61JTGkL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.236"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"SAMSUNG","Samsung","SM-A105G/DS","Android","32 GB"," ","13 MP","4.4","323","179.00","Pictures/615wcLMDicL._AC_SL1000_.jpg"
"DOOGEE","DOOGEE"," ","Android 10.0","128 GB"," ","16 MP","4.6","188"," ","Pictures/61RZKcU6vpL._AC_SL1500_.jpg"
"OUKITEL","Emtugee"," ","Android 10.0","16 GB"," "," ","4.4","82","79.99","Pictures/71wt8XtQrGL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi","6941059645856","Android","64 GB"," "," ","4.7","1.437","139.99","Pictures/51XR8Tr64ZL._AC_SL1000_.jpg"
"Blackview","Blackview","A60","Android","16 GB","MicroSD","13 MP","4.0","158"," ","Pictures/61tT6cU2LHL._AC_SL1000_.jpg"
"ZTE","ZTE","126591201000","Android","6 GB"," "," ","4.3","37","379.18","Pictures/81fkyj4akxL._AC_SL1500_.jpg"
"Alcatel","Alcatel","6055K-2CALWE7-5","Android 6.0 Marshmallow","16 GB"," ","13 MP","3.8","176","139.45","Pictures/916Z4lqusZL._AC_SL1500_.jpg"
"Meizu","Meizu","M811H/16GB BLU (M6T)","Flyme OS 6 basierend auf Android 7","16 GB"," ","13 MP","3.5","8","109.00","Pictures/618RIiodIaL._AC_SL1500_.jpg"
"MeiLiu","MeiLiu","CE040377505TT1296"," ","8 GB"," "," "," "," ","43.99","Pictures/51tBHOFAnFL._AC_SL1002_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.236"," ","Pictures/71d2hbpGFGL._AC_SL1500_.jpg"
"Sony Ericsson","Sony","1200-7988","Symbian","4 GB"," ","2 MP","4.0","96"," ",""
"JJA BROS","JJA BROS"," "," ","8 GB"," ","5 MP","3.0","34","109.81","Pictures/51u8YBoaJrL._AC_SL1000_.jpg"
"CPO","EN52X","6S","IOS","16 GB"," ","12 MP"," "," ","219.08","Pictures/51UOUgr6pKL._AC_SL1200_.jpg"
"SAMSUNG","Samsung","GALAXY A 10 NOIR","Android","2 GB"," ","5 MP","3.5","5","166.32",""
"Motorola","Motorola"," ","Android 10.0","4 GB"," ","48 MP","4.6","19","159.90","Pictures/71lfIyTKSEL._AC_SL1500_.jpg"
"DOOGEE","DOOGEE","DOOGEE X95","\xf0\x9f\x91\x8d Android 10 GO","16 GB","MicroSD","13 MP","4.2","1.236"," ","Pictures/71FNe2qb1uL._AC_SL1500_.jpg"
"Xiaomi","Xiaomi"," ","Android 10.0","4 GB"," ","48 MP","4.6","150","179.00","Pictures/61OoN7KPmeL._AC_SL1000_.jpg"
"Xiaomi","Xiaomi"," ","Android","64 GB"," ","13 MP","4.6","371","129.00","Pictures/51-GTEwlcZL._AC_SL1000_.jpg"
"ZengBuks","ZengBuks"," ","Android","128 GB"," ","8 MP"," "," "," ",""
"Elari","Elari","Nanophone c silver","RTOS","32 GB"," "," ","3.1","26","27.99","Pictures/71bMmYy2i2L._AC_SL1500_.jpg"
"LG","LG","LMK510EMW.AITCTN","Android 9.0","3 GB"," ","32 MP","4.3","30","182.49","Pictures/61y-ffa0QDL._AC_SL1500_.jpg"
"N/P"," "," "," "," "," "," "," "," ","3.28","Pictures/51yGO6MV%2BNL._AC_SL1001_.jpg"
"TechniSat","TechniSat","0000/9023","Sonstiges","8 MB"," ","0.3 MP","3.4","21","63.52","Pictures/71%2Bs11d2OvL._AC_SL1500_.jpg"
"Blackview","Blackview","Blackview BV6300","Android 10","32 GB"," "," "," "," ","169.99","Pictures/61fEmdRBRaL._AC_SL1000_.jpg"
"Panasonic","Panasonic","KX-TU110EXC","Symbian"," "," "," ","3.9","163","29.90","Pictures/817i%2BbfsbhL._AC_SL1500_.jpg"
"M","M"," "," ","64 GB"," ","48 MP","4.3","346","179.00",""
"Beafon","Beafon","SL250_EU001SB"," "," "," "," ","4.3","26"," ","Pictures/61YnneGwhEL._AC_SL1200_.jpg"
"Microsoft Mobile","Nokia","6131 pink","Symbian","11 MB"," ","1.3 MP","3.6","10","164.27",""
